State,Name of District (Traffic unit),Name of Jurisdictional Police Station,NH/SH/MDR/OR No.,Name of Location Place,Limits of High Accident Prone Location - Starting from (km),Limits of High Accident Prone Location - Ending to (km),Numbers of Accidents - 2016,Numbers of Accidents - 2017,Numbers of Accidents - 2018,Numbers of Accidents - Total of all three years,Numbers of Fatalities - 2016,Numbers of Fatalities - 2017,Numbers of Fatalities - 2018,Numbers of Fatalities - Total of all three years,Latitude,Longitude
Jharkhand,Dumka,Shikaripara,NH114A,"Patabari, Barmasia",48,48.5,9,2,2,13,5,0,2,7,24.2127713,87.3717681
Karnataka,Ramanagar District,Kaggalipura PS,NH 209,Agara Cross,7.5 Km,8  Km,9,24,35,68,13,14,10,37,12.2751499,76.890797
Karnataka,Bagalkot District ,BGK RL PS,NH 50,Devalapur Cross,0,500 (Mtrs),4,2,7,13,13,14,8,35,15.7837783,74.8229316
Karnataka,Ramanagar District,Traffic Station,     NH-275,Mayaganahalli,8Km,8.5Km,8,9,13,30,13,14,3,30,12.7685803,77.3354429
Karnataka,Raichur District,Raichur Rural ,NH,Base Pawer To M.P.C.L,0,500m,7,5,6,18,12,9,8,29,16.216018,77.3565608
Karnataka,Chitradurga District,HIRIYUR RURAL POLICE STATION,NH-4,J.G.HALLI,17.5 km,18 km,9,12,6,27,7,12,9,28,13.7822925,76.5799319
Karnataka,Mandya ,Mandya Traffic ,NH-275,In front of east ps cross ,263.1,263.3,8,11,9,28,4,11,12,27,12.5218157,76.8951488
Karnataka,Raichur District,Maski,NH,Lingasagur- Maski Road  Santekellur Near,0,500m,1,,6,7,1,,23,24,16.1550404,76.5199195
Karnataka,Bengalurr city,Electronic city Trffic Police Station ,National Highway-07,Hosuru Main Road ( HULIMAVU  Tr PS TO Singasandra  Bus Stop TO  Singasandra Bus stop ) ,   9.3 KM, 9.7 KM,6,15,25,46,4,4,15,23,12.8811382,77.6493839
Karnataka,Ramanagar District,Kaggalipura,NH 209,Lakshmipura Temple,6 Km,6.5 Km,6,12,23,41,10,5,8,23,12.2751499,76.890797
Karnataka,Bangalore District ,Hebbagodi,NH-07,Hebbagodi Bus Stop,0.00 Km,100 M,8,9,6,23,8,9,6,23,12.8257264,77.6780035
Kerala,Kollam rural,Kundara,NH 744,Keralapuram,9.75,10.25,16,17,3,36,9,9,10,28,8.9405615,76.6585978
Kerala,Alappuzha,Aroor,NH 66,Aroor Bypass to Aroor Temple,.250 north,.250 south,71,34,59,164,9,6,11,26,9.878191,76.3038672
Kerala,Alappuzha,Haripad,NH 66,Karuvatta- Vazhiyambalam,.350 south,.150 north,17,42,16,75,6,9,4,19,9.3195143,76.4257935
Kerala,Alappuzha,Aroor,NH 66,Eramalloor,.250 north,.250 south,36,42,38,116,9,6,3,18,9.8234702,76.3111052
Kerala,Alappuzha,Aroor,NH 66,Chandiroor,.150 north,.350 south,27,31,30,88,5,7,5,17,9.8433362,76.3088759
Kerala,Alappuzha,Haripad,NH 66,Madhava Junction- Haripad- KSRTC JN,.350 south,.150 north,16,20,35,71,3,3,9,15,9.2826426,76.4543159
Kerala,Alappuzha,Kareelakulangara,NH 66,Ramapuram,.250 north,.250 south,13,13,17,43,5,2,6,13,13.010621,80.1932384
Kerala,Kannur,Valapattanam,NH,Pappinisseri Chungam to Velapuram,00 Mtr,500 Mtr,10,8,10,28,6,3,4,13,11.9415237,75.3514204
Kerala,Alappuzha,Kuthiathode,NH 66,Thuravoor St George Church to  Reliance Petrol Pump,.250 north,.250 south,36,26,24,86,3,6,3,12,9.7704378,76.3203091
Kerala,Kozhikode Rural,Vatakara,NH,Kainatty,"Kainatty
001 Meter","KT Bazar
500 Meter",10,12,9,31,3,4,5,12,11.6360021,76.0885011
Madhya Pradesh,Shivpuri,Amola,NH 27,Naya Amola sirsos chouraha,02-May,3-0,6,11,7,24,6,8,9,23,-34.8606198,-56.2296105
Madhya Pradesh,Khargon,Maheswar,NH 3,Ganpati Ghat ganesh mandir ke pas A B Road Bakaner,50-1,50-21 ,4,5,8,17,3,13,7,23,22.1807931,75.1589159
Madhya Pradesh,Devash,O Chetra Devash,NH 3,Rasoolpur Chouraha,1-0,01-May,158,,,158,22,,,22,,
Madhya Pradesh,Sagar,Cant,NH 26,For line gadpahra tiraha,2-0,02-May,8,14,5,27,4,8,9,21,,
Madhya Pradesh,Dhar,Sector 1,NH 3,AB Road bhodiya talab ke samne tiraha,22-0, 22-2 ,6,4,13,23,7,3,9,19,22.7262499,75.8875123
Madhya Pradesh,Mandsore,Pipaliya Mandi,NH 79,Pipliya mandi choupati Highway Road,14-May,15,7,6,9,22,7,5,7,19,24.1881706,75.0084554
Madhya Pradesh,Shivpuri,Amola,NH 27,Amola Krasher,10,10-May,3,4,6,13,7,5,5,17,,
Madhya Pradesh,Dhar,Dhamnod,NH 3,Ganesh Ghat,8,12,82,,,82,17,,,17,19.2469741,73.1183223
Madhya Pradesh,Nimach,Jawad,NH 79,Kanka Fanta Highway,03-Jan,03-Feb,2,3,18,23,2,11,3,16,24.5858514,74.8565613
Madhya Pradesh,Bhind,dehat,NH 92,Daboha more,3-0  ,03-May,5,5,10,20,2,4,9,15,,
Maharastra,Dhule,Dhule Taluka,NH-6,Katsar Village,508/8,509/3,2,,,2,19,,,19,25.3337351,83.3482146
Maharastra,NANDED,Nanded Rural,NH- 361,Muslmanwadi Pati,15 km,15.5 km,1,2,2,5,1,7,5,13,19.0920423,77.2333412
Maharastra,Amravati Rural,Loni,NH-6,Nagzari Fata,177/950,177/950,1,4,3,8,1,5,4,10,20.1986856,76.5184122
Maharastra,Solapur Rural,Tembhurni,NH-65,Kanergaon Pati Solapur to Pune,162/350,162/850,6,3,,9,6,3,,9,18.5204303,73.8567437
Maharastra,Dhule,Dhule Taluka,NH-3,Near Purmepada Village,282/0,282/5,0,7,,7,0,6,,6,20.7072441,74.7278544
Maharastra,Bhandara,Jawahar Nagar,NH-53,Shahapur,500/600,500/600,2,5,4,11,1,2,2,5,19.4520777,73.3279586
Maharastra,Satara ,Bhuinj,NH-4,Near Anewadi Valsure Pul,748,748,0,2,4,6,0,2,3,5,17.8051386,73.9624327
Maharastra,Amaravati City,GadgeNagar ,NH - 6,"Gori In Hotel ""T"" Point",0,0,2,2,1,5,2,2,1,5,20.9502513,77.7657599
Maharastra,Dhule,Nardana,NH-3,"Gori In Hotel ""T"" Point",216/2,216/5,1,5,,6,1,4,,5,20.9502513,77.7657599
Maharastra,Sangli,Miraj City,NH-166,Near D mart pandharpur Road Miraj,196/1,196/6,1,4,,5,1,4,,5,16.8478166,74.6548418
Manipur,Thoubal,Thoubal PS,NH 102,Thoubal Haokha area,Haokha area 1.5 km,Keyam Sephai 2 km,3,9,,12,1,2,,3,24.6449243,93.99929
Manipur,Kakching,Kakching,NH 102,Kakching Khunuta Ching,"3kms, Kakching Lamkhai",3 kms and 500m. Sora Village,2,2,2,6,0,1,1,2,24.5083346,94.0138308
Manipur,Thoubal,Thoubal PS,NH 102,"Heirok Lamkhai, Wangjing",Wangjing Bazar-5 km,Uningkhong Wangjing -5.5 km,6,1,3,10,1,0,0,1,24.5986252,94.035926
Manipur,Kakching,Kakching,NH 102,Heitroipokpi near power house,"4 kms and 500 m, Lengba Loukol","5 kms, Kuraopokpi",4,2,3,9,0,0,1,1,24.8333946,93.8488734
Manipur,Kakching,Kakching,NH 102,Kakching Lamkhai,"2 kms and 500 m, Irumphal, Kakching","3kms, Khunuta Chingjin",4,1,2,7,0,0,0,0,24.4967711,94.0119537
Megahalaya,Jowai traffic Branch, Jowai,,Wah Gate Chahtngit Jowai,0km,0.5km,0,9,2,11,0,2,0,2,25.450902,92.2089109
Megahalaya,East Jaintia Hills,Khliehrait PS,NH,Byndihati,6km,6km,7,,,7,1,,,1,25.3567243,92.3640875
Megahalaya,Jowai traffic Branch, Jowai,,Mooralong NH44,0km,0.5km,5,4,5,14,0,0,0,0,25.450902,92.2089109
Mizoram,AIZAWL,VAIVAKAWN,NH,RANGVAMUAL,2,07-Jan,3,3,4,10,4,3,5,12,23.7555027,92.6953772
Mizoram,AIZAWL,KULIKAWN,NH,WORLD BANK ROAD,2,7,1,2,2,5,1,2,2,5,23.5229254,92.702626
Mizoram,KOLASIB,KOLASIB,NH-306,KHUANGPUILAM,01-Jan,02-Jan,0,2,1,3,0,2,1,3,24.2080787,92.6847201
Mizoram,KOLASIB,KOLASIB,NH-306,KHAMRANG,1,04-Jan,2,0,0,2,2,0,0,2,23.9330638,92.6542949
Mizoram,SERCHHIP,SERCHHIP,NH,RALKIAUVA KHAM,1,9,0,1,1,2,0,1,1,2,23.3416578,92.8502302
Nagaland,Kohima,South PS,NH/29,NST garage New Reserve Junction,184,184.5,10,5,5,20,2,0,0,2,,
Nagaland,Kohima,South PS,NH/29,City Church-ioc,182-5,183,17,9,14,40,0,0,1,1,,
Nagaland,Kohima,South PS,NH/29,"New reserve Junction, revival Church",184.5,185,5,0,7,12,1,,0,1,49.004784,-88.3227594
Nagaland,Kohima,North PS,NH/2,Kezieke to Tinpati,1,1.5,5,,,5,1,,,1,,
Nagaland,Kohima,South PS,NH/29,TCP gate-City Church,182,182.5,16,11,9,36,0,0,0,0,,
Nagaland,Kohima,South PS,NH/29,IOC-OLD NST,183,183-5,6,7,5,18,0,0,0,0,,
Nagaland,Kohima,South PS,NH/29,OLD INT NST garage,183.5,184,8,8,5,21,0,0,0,0,,
Nagaland,Kohima,Sechü Zubza PS,NH/29,Orphanage to AR Camp,177.5,178,2,,5,7,0,0,,0,25.7166408,94.0363382
Nagaland,Kiphire,Kiphire PS,NH-202,Kiphire Town,220,220.5,1,3,1,5,0,0,0,0,25.8689085,94.7853412
Nagaland,Kohima,Sechü Zubza PS,NH/29,Lalmati to Peducha Village,164,164.5,6,5,,11,0,0,,0,26.1109505,91.776394
Orrisha,Cuttack,Tangi PS,NH- 16,Manguli chhak to hanuman petrol pump,31.8,32.3,3,7,4,14,4,9,5,18,20.4663093,85.8801594
Orrisha,Jajpur,Dharmasala,NH- 16,Near Naulapur,63.5,64,7,8,8,23,7,5,5,17,28.2219884,81.6643323
Orrisha,Jagatsinghpur,Paradip PS,  NH- 53,Dochhaki paradip,72.95,73.45,5,1,2,8,6,9,1,16,20.3165523,86.6113628
Orrisha,Mayurabhanj,Bangriposi,NH-49,Dwarasuni Temple to Dwarsuni Ghati,230,230.5,8,4,5,17,9,4,2,15,16.9355804,81.9261999
Orrisha,Mayurabhanj,Kuliana,NH-18,Kuchei toPower Grid Chaak,23.5,24,8,4,5,17,9,4,2,15,22.0700996,86.6485137
Orrisha,Jajpur,Badachana PS,NH- 16,Bandala chhak,51.3,51.8,9,12,6,27,5,3,7,15,20.6672393,86.1185813
Orrisha,UPD bhubaneaswar,Khandgiri,NH-16,Iginia chhak,410.25,410.75,6,6,12,24,5,6,4,15,20.2568819,85.7791854
Orrisha,Sambalpur,Dhanupali PS,NH-53,Near bhatra,562,562.5,7,21,8,36,2,8,5,15,21.4460796,83.9962491
Orrisha,Bhadrak,Bhadrak Rural,NH- 16,Trisalpur chhak (Rahanja),125.1,125.6,9,5,14,28,4,3,7,14,21.1163295,86.5568232
Orrisha,Khordha,Sahid    Nagar PS,NH- 16,Jaydev Vihar,417.75,418.25,7,7,12,26,3,6,5,14,20.2997267,85.8172637
Punjab,Rupnagar,Sadar Rupnagar, NH 205,Malakpur T-point,5,5.5,20,24,12,56,20,24,10,54,30.9310568,75.7342416
Punjab,SAS Nagar,Zirakpur,NH- 05,Gurdwara Nabha sahib Chd road,4,4.5,17,12,8,37,17,16,13,46,30.639207,76.799288
Punjab,COP/ Ludhiana ,PS Div No 7,NH-01,Tajpur Cut Samrala Chowk  Vardhman Chowk   Grewal Petrol Pump,1,1,9,6,5,20,11,16,4,31,30.8356679,76.1910284
Punjab,SAS Nagar,Zirakpur,NH-152,T-Point Pind Singhpura Chd to Ambala Road,3,3.5,8,9,6,23,9,11,9,29,30.6425496,76.8173359
Punjab,Ludhiana,Sahnewal,NH 44,Sahnewal Bridge,301.7542,302.2542,7,10,6,23,8,10,4,22,30.8375323,75.9720904
Punjab,Pathankot,PS Shahpur Kandi,NH-01,Pangoli Chowk ,500,1000,6,7,5,18,6,7,5,18,32.3105793,75.6548376
Punjab,Ludhiana,Sahnewal,NH 44,Eastman caste and forge Ltd,304.40238,304.90238,7,5,2,14,10,5,2,17,30.8375323,75.9720904
Punjab,Ludhiana,Sahnewal,NH 44,Dhandari Flyover,307.44942,307.94942,3,6,10,19,3,5,8,16,30.867964,75.9216221
Punjab,Ludhiana,Div No.3 + Jodhewal,NH 44,"Tibba cut, near Tajpur chowk",315.44201,315.94201,8,7,3,18,6,7,3,16,21.6443962,87.6120531
Punjab,Ludhiana,Sahnewal,NH 44,Dhandari Kalan bus stop,309.15025,309.65025,7,8,2,17,6,7,1,14,30.8636071,75.9194278
Rajasthan,Jaipur Gramin,Chaikankan,8,Padasoli ,339.75,339.95,13,14,9,36,7,15,4,26,26.6425598,75.1421335
Rajasthan,Jaipur Gramin,Chaikankan,8,Moukhampura,312.3,312.65,15,11,13,39,7,10,7,24,26.7798452,75.3718913
Rajasthan,Jaipur Gramin,Chaikankan,8,Mahlan,301.1,301.45,10,14,13,37,8,7,8,23,26.8095243,75.4767099
Rajasthan,Ajmer,Vyawar Sadar,8,Kharwa Chouraha,1,1,13,11,11,35,7,9,6,22,,
Rajasthan,Rajsamand         ,Bhim,8,Nandawat,1.5,2,9,15,12,36,7,12,2,21,25.7492009,74.0711359
Rajasthan,Jaipur Purva,Kanota,NH-11,Mali ki Kothi bagrana,369 KM ,369.10 KM,21,13,14,48,8,6,6,20,26.5376417,76.3062519
Rajasthan,Udaypur,Kherwad,8,Khandi Obari,345-60,346-10,6,7,3,16,6,11,3,20,23.9936144,73.6278246
Rajasthan,Jaipur Gramin,Bendakuramp,8,BELPUR,0,500 METER,5,12,4,21,5,12,2,19,22.7081742,88.6639228
Rajasthan,Bharatpur,Rupwas,NH NO123,Bokoli,1,1,5,3,11,19,5,3,11,19,0.689945,34.674591
Rajasthan,Bundi,Taleda,",u ,p 52",Bllop pulia ke pas,o.5,1,12,3,7,22,2,1,16,19,46.0046404,8.9506341
Tamilnadu,Chennai City,T1 Ambattur Traffic P S,NH 205,"C.T.H. Road Mannurpet, AMBT Tel Exchange",18,18.5,251,300,224,775,59,56,51,166,13.1244592,80.0299641
Tamilnadu,Chennai City,T15 SRMC Traffic P S,NH 48,"Tambaram - Puzhal Bypass Road,  Porur Toll gate Near",17,17.5,173,119,131,423,30,30,37,97,13.0381896,80.1565461
Tamilnadu,Chennai City,T12 Poonamallee Traffic P S,NH 44,"Bangalore-Chennai NH Rd, Nazarethpet junction",5,5.5,166,188,166,520,27,37,31,95,12.9715987,77.5945627
Tamilnadu,Cuddalore,Kadampuliyur  PS,NH 45 C ,Panikankuppam,30.4,30.9,113,86,86,285,16,11,14,41,11.7505606,79.5432275
Tamilnadu,Vellore,Ambur Taluk PS,NH 46 ,Minnur JN,32,32.5,11,9,18,38,11,9,18,38,12.7360822,78.6742263
Tamilnadu,Kanchipuram ,G1 MADHURANTHAGAM ,NH ,Karunkuzhi,4,4.5,32,30,20,82,12,12,12,36,12.5319246,79.9039194
Tamilnadu,Chennai City,T4 Maduravoyal Traffic P S,NH-45,P.H Road-Vembuli Amman koil junction,0.5,1,45,59,43,147,9,22,5,36,12.9627801,80.1960498
Tamilnadu,Vellore,Ambur Taluk PS,NH 46 ,Periyangkuppam JN,35,35.5,11,11,13,35,11,11,13,35,12.7538633,78.710822
Tamilnadu,Viluppuram,Olakkur PS,NH 45,Saram BDO office,114+750,115+250,27,27,24,78,10,15,6,31,12.3079852,79.7189541
Tamilnadu,Cuddalore,Annamalai nagar ps,NH 45A,Vallampadugai,116.1,116.6,41,46,32,119,12,11,8,31,11.3470567,79.7091368
Telangana,Suryapet,Kodad Town,NH 65,SRM School,177,177/4,3,0,1,4,5,0,18,23,12.8314863,80.0710725
Telangana,Sangareddy,Sadasivpet,NH 65,Nandikandi outskirts,76.5,76,17,7,7,31,15,1,6,22,17.6116958,77.9917086
Telangana,Sangareddy,Kondapur,NH 65,Malkapur X Road,56.5,56,13,15,7,35,7,10,5,22,17.4698577,78.3578246
Telangana,Sangareddy,Patancheru,NH 65,Muthangi (V) limits,33.5,33,9,14,7,30,8,5,7,20,17.5425548,78.2267425
