"S
No.",Polic e BS No.,Name of Distt.,Name of Police Station,"No of NH
road",name of the location place,Limits high accident prone Location,Unnamed: 7,Number of Accident,Unnamed: 9,Unnamed: 10,Unnamed: 11,Number of fatalities,Unnamed: 13,Unnamed: 14,Unnamed: 15,Latitude,Longitude
155.0,267.0,BARMER,Pachpadr a,NH 25,Bhandiya vass,5 KM,5.5 KM,0.0,0.0,7.0,7,0.0,0.0,18.0,18,,
156.0,305.0,PARTAPG RAH,lqgkxiqjk,NH 56,dpksfV;k,11.00 KM,"11.05
KM",2.0,1.0,2.0,5,1.0,0.0,1.0,2,23.3529382,77.2387191
157.0,306.0,PARTAPG RAH,NksVhlknMh,NH 56,cjs[ku QUVk,3.00 KM,"3.05
KM",4.0,3.0,2.0,9,4.0,3.0,1.0,8,24.5402639,76.1725774
158.0,370.0,JALAWAR,KOTWALI,NH- 52,JHIRNIYA GHATI,12 KM,"12.5
KM",7.0,4.0,5.0,16,9.0,7.0,6.0,21,26.3504489,75.02570159999999
159.0,371.0,JALAWAR,JHALRAP ATAN,NH- 52,BAGDAR MOD,6 KM,6.5 KM,6.0,5.0,5.0,16,2.0,2.0,2.0,6,25.3247004,75.7226116
160.0,372.0,JALAWAR,ASNAWA R,NH- 52,AAKODIYA,18 KM,"18.5
KM",1.0,4.0,9.0,14,0.0,5.0,5.0,10,27.0344669,76.5228101
161.0,373.0,JALAWAR,ASNAWA R,NH- 52,AKTASA,22 KM,"22.5
KM",1.0,5.0,5.0,11,0.0,6.0,2.0,8,,
162.0,374.0,JALAWAR,AKLERA,NH- 52,ARNIYA,46 KM,"46.5
KM",3.0,1.0,5.0,9,1.0,1.0,3.0,5,,
163.0,231.0,TONK,DUNI,NH 52,"BANTHALI MOD
,TIRAHA",6.8 KM,7.1 KM,5.0,1.0,3.0,9,5.0,0.0,1.0,6,31.2814242,75.7925595
164.0,232.0,TONK,DUNI,NH 52,SANTHALI MOD,9.3 KM,9.6 KM,3.0,2.0,5.0,10,1.0,0.0,1.0,2,,
165.0,233.0,TONK,DUNI,NH 52,DHANDOLI MOD,11.9 KM,"12.1
KM",1.0,1.0,3.0,5,3.0,1.0,2.0,6,,
166.0,234.0,TONK,BARONI,NH 52,PAHADI CUT SE DIKSHA PETROL PUMP,81 KM,"81.4
KM",8.0,10.0,4.0,22,3.0,5.0,3.0,11,25.1810161,75.9143867
167.0,235.0,TONK,BARONI,NH 52,SOHELA CUT,89.1 KM,"89.5
KM",0.0,3.0,5.0,8,0.0,2.0,3.0,5,26.8370192,75.8062649
168.0,236.0,TONK,BARONI,NH 52,VESHNO DEVI MANDIR CUT SE BORKHANDI PULIYA,94.2 KM,"94.7
KM",5.0,2.0,7.0,14,4.0,0.0,6.0,10,26.9173615,75.8189822
