"S
No.",Polic e BS No.,Name of Distt.,Name of Police Station,"No of NH
road",name of the location place,Limits high accident prone Location,Unnamed: 7,Number of Accident,Unnamed: 9,Unnamed: 10,Unnamed: 11,Number of fatalities,Unnamed: 13,Unnamed: 14,Unnamed: 15,Latitude,Longitude
267.0,16.0,JAIPUR EAST,KANOTA,NH 21,52 FEET HANUMAN MANDIR KE SAMNE,367.0 KM,"367.5
KM",4.0,6.0,3.0,13,3.0,2.0,2.0,7,26.8823937,75.7356953
268.0,17.0,JAIPUR WEST,Vishvkar ma,NH- 48,Milan Cinema to Badharana Puliya,253.8 KM,"254.3
KM",6.0,4.0,1.0,11,5.0,4.0,1.0,10,26.9468242,75.77089389999999
269.0,18.0,JAIPUR WEST,Karni vihar,NH- 48,Gandhipath Puliya to Shelby Hospital,264.1 KM,"264.5
KM",5.0,7.0,6.0,18,4.0,2.0,2.0,8,27.1629204,75.722941
270.0,19.0,JAIPUR WEST,"Jhotwada
/ Murlipura",NH- 52,Bhawani Niketan to Dehar ka balaji sikar road,240 KM,"240.3
KM",5.0,5.0,4.0,14,3.0,3.0,2.0,8,27.003613,75.77035819999999
271.0,20.0,JAIPUR WEST,Muralipur a,NH- 52,Khaitan chouraha sikar road,241.5 KM,"241.6
KM",1.0,4.0,0.0,5,1.0,2.0,0.0,3,27.1345884,75.8570266
272.0,21.0,JAIPUR WEST,Vishvkar ma,NH- 52,Road no. 14 sikar road,246.1 KM,"246.3
KM",8.0,3.0,4.0,15,2.0,2.0,3.0,7,27.0712962,75.76621949999999
273.0,22.0,JAIPUR WEST,Daulatpu ra,NH- 48,Bilochi,25 KM,"25.5
KM",4.0,2.0,4.0,10,6.0,1.0,4.0,11,26.6866876,74.9296456
274.0,23.0,JAIPUR WEST,Harmara,NH- 52,RAJAWAS Rajawas,5 KM,5.5 KM,7.0,3.0,7.0,17,4.0,1.0,1.0,6,26.6866876,74.9296456
275.0,24.0,JAIPUR WEST,Harmara,NH- 52,Bedpipali,4 KM,4.5 KM,5.0,8.0,6.0,19,1.0,3.0,1.0,5,26.6866876,74.9296456
276.0,25.0,JAIPUR WEST,Harmara,NH- 52,TODI MOD,2 KM,2.5 KM,5.0,9.0,3.0,17,4.0,3.0,3.0,10,26.8535124,75.6365805
277.0,26.0,JAIPUR WEST,Harmara,NH- 52,NINDAD MOD,1 KM,1.5 KM,8.0,5.0,5.0,18,3.0,1.0,3.0,7,26.8078123,75.5401734
278.0,27.0,JAIPUR WEST,Bagru,NH- 48,Bad ke balaji Ajmer road,284.3 KM,"284.8
KM",6.0,6.0,4.0,16,2.0,3.0,0.0,5,26.806115,75.5131117
279.0,28.0,JAIPUR WEST,Bagru,NH- 48,Dahmi Balaji Ajmer road,291.4 KM,"291.9
KM",8.0,4.0,12.0,24,5.0,6.0,9.0,20,26.7015198,75.1883342
280.0,29.0,JAIPUR WEST,Bagru,NH- 48,Chhitroli Ajmer road,296.7 KM,"297.2
KM",6.0,2.0,5.0,13,3.0,4.0,4.0,11,27.1655759,75.7158062
281.0,30.0,JAIPUR WEST,Chomu,NH- 52,UDAIPURIYA MOAD,1  KM,1.5  KM,4.0,8.0,3.0,15,2.0,4.0,1.0,7,27.1655759,75.7158062
282.0,31.0,JAIPUR WEST,Chomu,NH- 52,Hadota Cut,4 KM,4.5 KM,10.0,7.0,7.0,24,3.0,3.0,4.0,10,26.8708346,75.69726659999999
283.0,32.0,JAIPUR WEST,Chomu,NH- 52,Jaitpura Cut,36 KM,"36.5
KM",11.0,12.0,5.0,28,6.0,1.0,1.0,8,26.8475057,75.6695376
284.0,33.0,JAIPUR WEST,Bhankrot a,NH-8,Bhankrota Choraha,278 KM,"278.5
KM",11.0,14.0,10.0,35,3.0,4.0,7.0,14,26.8659783,75.660084
285.0,34.0,JAIPUR WEST,Bhankrot a,NH-8,Mahapura Choraha,280.3 KM,"280.5
KM",16.0,10.0,10.0,36,6.0,5.0,2.0,13,,
286.0,35.0,JAIPUR WEST,Bhankrot a,NH-8,Narsinghpura Cut,282 KM,"282.5
KM",7.0,7.0,6.0,20,2.0,4.0,4.0,10,,
287.0,36.0,JAIPUR NORTH,xyrkxsV,"NH-
11c",/kksch?kkV lfdZy,2  KM,2.5  KM,5.0,1.0,3.0,9,2.0,0.0,4.0,6,,
288.0,37.0,JAIPUR NORTH,xyrkxsV,"NH-
11c",bZnxkg ikMk e.Mh iqfy;k uEcj 2,1 KM,1.5 KM,9.0,5.0,9.0,23,2.0,2.0,4.0,8,22.8315138,88.39774179999999
289.0,38.0,JAIPUR NORTH,czãiqjh,"NH-
11c",cU/k dh ?kkVh ekuckx,2 KM,2.5 KM,7.0,2.0,1.0,10,3.0,1.0,0.0,4,22.8315138,88.39774179999999
290.0,39.0,JAIPUR SOUTH,श्यामनगर,NH- 48,200 फीट चौरािा,2 KM,2.5 KM,15.0,8.0,7.0,30,5.0,4.0,3.0,12,26.7300414,75.8388698
291.0,40.0,JAIPUR SOUTH,श्यामनगर,NH- 48,कमला नेिरू पुसलया चौरािा,3.5 KM,4 KM,7.0,8.0,7.0,22,5.0,5.0,4.0,14,26.6034639,75.9435991
292.0,41.0,JAIPUR SOUTH,सशवदासपुरा,NH52,बीलवा कट,7.5 KM,8 KM,3.0,0.0,5.0,8,4.0,0.0,2.0,6,26.6034639,75.9435991
293.0,42.0,JAIPUR SOUTH,सशवदासपुरा,NH52,चाकसू कट,2 KM,2.5 KM,1.0,2.0,7.0,10,1.0,2.0,2.0,5,26.6034639,75.9435991
294.0,43.0,JAIPUR SOUTH,चाकसू,NH52,गरूडवासी चौरािा,6 KM,6.5 KM,2.0,1.0,4.0,7,2.0,1.0,2.0,5,26.6034639,75.9435991
295.0,44.0,JAIPUR SOUTH,चाकसू,NH52,रामपुरा नला सतरािा,8 KM,8.5 KM,7.0,4.0,3.0,14,7.0,4.0,0.0,11,27.7354753,76.2294455
296.0,45.0,JAIPUR SOUTH,चाकसू,NH52,कोथुन पुसलया चौरािा,12 KM,"12.5
KM",7.0,8.0,7.0,22,8.0,8.0,3.0,19,27.798536,76.24211849999999
297.0,46.0,JAIPUR RURAL,Paniyala,NH 48,MOLAHERA,5.0 KM,5.5 KM,7.0,4.0,1.0,12,7.0,3.0,1.0,11,27.798536,76.24211849999999
298.0,47.0,JAIPUR RURAL,Paniyala,NH 148A,GONERA,2.0 KM,2.5 KM,5.0,1.0,4.0,10,3.0,0.0,4.0,7,28.4021855,76.9836323
299.0,48.0,JAIPUR RURAL,Paniyala,NH 48,SANGDERA,4.0 KM,4.5 KM,7.0,6.0,4.0,17,3.0,4.0,4.0,11,27.798536,76.24211849999999
300.0,49.0,JAIPUR RURAL,Paniyala,NH 48,KHERKI MUKKAD,2.0 KM,2.5 KM,5.0,2.0,2.0,9,7.0,1.0,2.0,10,52.841673,-3.059074
301.0,50.0,JAIPUR RURAL,Paniyala,NH 48,PANIYALA KUT,1.0 KM,1.5 KM,9.0,11.0,7.0,27,5.0,5.0,8.0,18,26.3005677,75.36966140000001
302.0,51.0,JAIPUR RURAL,Paniyala,NH 48,MORDA,3.0KM,3.5 KM,4.0,1.0,2.0,7,7.0,7.0,2.0,16,27.8867159,76.2833915
303.0,52.0,JAIPUR RURAL,Paniyala,NH 48,MALPURA,5.0 KM,5.5 KM,4.0,3.0,1.0,8,3.0,2.0,1.0,6,27.7054216,76.1942048
304.0,53.0,JAIPUR RURAL,Paniyala,NH 48,SOTANALA,3.0 KM,3.5 KM,13.0,9.0,2.0,24,5.0,9.0,2.0,16,27.7054216,76.1942048
305.0,54.0,JAIPUR RURAL,KOTPUTL I,NH 48,DEEWAN HOTAL,2.0 KM,2.5 KM,2.0,5.0,6.0,13,4.0,7.0,7.0,18,27.7054216,76.1942048
306.0,55.0,JAIPUR RURAL,KOTPUTL I,NH 48,PUTLI KUT,1.0 KM,1.5 KM,4.0,2.0,5.0,11,4.0,2.0,6.0,12,31.8228602,76.2116987
307.0,56.0,JAIPUR RURAL,KOTPUTL I,NH 48,BUDHI KA HOTAL,3.0 KM,3.5 KM,1.0,3.0,4.0,8,1.0,4.0,2.0,7,31.8228602,76.2116987
308.0,57.0,JAIPUR RURAL,PRAGPUR A,NH 48,CHC KAT PAOTA,2.5 km,3.0 km,16.0,8.0,7.0,31,8.0,8.0,6.0,22,27.6500593,76.13817470000001
309.0,58.0,JAIPUR RURAL,PRAGPUR A,NH 48,LADA KA BASS KAT,5.5 km,6.0 km,5.0,3.0,11.0,19,7.0,4.0,4.0,15,26.9124336,75.7872709
310.0,59.0,JAIPUR RURAL,SARUND,NH 48,GORDHANPURA PULIYA,15.0 km,"15.5
km",7.0,5.0,5.0,17,5.0,2.0,4.0,11,27.4657618,76.0217831
311.0,60.0,JAIPUR RURAL,SHAHPU RA,NH 48,JAIPUR TIRAYA,0.5 KM,1.0 KM,11.0,1.0,6.0,18,6.0,1.0,3.0,10,27.5529907,76.6345735
312.0,61.0,JAIPUR RURAL,BHABRU,NH 48,"BHABARU
( GASKAN KI DHANI)",18.0 KM,"18.5
KM",9.0,3.0,5.0,17,2.0,3.0,4.0,9,21.476559,74.19771999999999
313.0,62.0,JAIPUR RURAL,BHABRU,NH 48,ALWAR TIRAYA,4.0 KM,4.5 KM,11.0,3.0,3.0,17,3.0,3.0,2.0,8,22.3730219,85.19717630000001
314.0,63.0,JAIPUR RURAL,BHABRU,NH 48,NIJHAR MOD,3.0 KM,3.5 KM,4.0,1.0,1.0,6,4.0,0.0,1.0,5,22.3730219,85.19717630000001
315.0,64.0,JAIPUR RURAL,MANOHA RPUR,NH 48,NH 8 TOLL PALAZA,.5 KM,1 KM,7.0,19.0,7.0,33,1.0,8.0,2.0,11,26.8996953,76.332411
316.0,65.0,JAIPUR RURAL,MANOHA RPUR,NH 48,NH 8 NAWAL PURA MOD,5.0 KM,5.5 KM,2.0,0.0,6.0,8,0.0,0.0,2.0,2,27.2685725,75.97825399999999
317.0,66.0,JAIPUR RURAL,MANOHA RPUR,NH- 148,dausa puliya,2.0 KM,2.5 KM,1.0,3.0,4.0,8,0.0,3.0,6.0,9,27.2235471,75.93180799999999
318.0,67.0,JAIPUR RURAL,CHANDW AJI,NH- 08,LAKHER,2 KM,2.5 KM,9.0,6.0,6.0,21,8.0,2.0,3.0,13,27.2237346,75.94777549999999
319.0,68.0,JAIPUR RURAL,CHANDW AJI,NH- 08,BEELPUR,5 KM,5.5 KM,4.0,4.0,6.0,14,3.0,3.0,5.0,11,27.1329757,75.9567046
320.0,69.0,JAIPUR RURAL,CHANDW AJI,NH- 08,GHATHWADA,11.00 KM,11.5KM,7.0,6.0,4.0,17,4.0,5.0,4.0,13,26.673494,75.3601649
321.0,70.0,JAIPUR RURAL,CHANDW AJI,NH24 8,ACHROL,10.00 KM,"10.5
KM",11.0,3.0,9.0,23,3.0,3.0,3.0,9,26.7432194,75.297485
322.0,71.0,JAIPUR RURAL,MOZMAB AD,NH 48,GIDANI CUT,7.5 KM,8 KM,0.0,10.0,5.0,15,2.0,0.0,5.0,7,-0.8679099,119.9046594
323.0,72.0,JAIPUR RURAL,MOZMAB AD,NH 48,SAWARDA CUT,11.KM,"11.5
KM",7.0,12.0,9.0,28,0.0,4.0,8.0,12,26.7798452,75.37189130000002
324.0,73.0,JAIPUR RURAL,MOZMAB AD,NH 48,PALU CUT,14.0 KM,"14.5
KM",10.0,6.0,8.0,24,8.0,9.0,3.0,20,26.673494,75.3601649
325.0,74.0,JAIPUR RURAL,MOZMAB AD,NH 48,MOKHAMPURA CUT,18.0 KM,"18.5
KM",15.0,10.0,6.0,31,7.0,10.0,9.0,26,26.7910571,75.4324245
326.0,75.0,JAIPUR RURAL,MOZMAB AD,NH 48,GADOTA CUT,21 KM,"21.5
KM",19.0,1.0,4.0,24,1.0,2.0,1.0,4,26.673494,75.3601649
327.0,76.0,JAIPUR RURAL,MOZMAB AD,NH 48,NASNODA CUT,24 KM,"24.5
KM",3.0,8.0,2.0,13,6.0,3.0,6.0,15,26.6425598,75.1421335
328.0,77.0,JAIPUR RURAL,MOZMAB AD,NH 48,MAHALAN CUT,28 KM,"28.5
KM",9.0,10.0,11.0,30,6.0,5.0,6.0,17,,
329.0,78.0,JAIPUR RURAL,DUDU,NH 48,PADASOLI,12.0 KM,"12.5
KM",3.0,11.0,13.0,27,1.0,8.0,9.0,18,29.3947643,79.1264997
330.0,79.0,JAIPUR RURAL,DUDU,NH 48,DANTRI CUT,15.0 KM,"15.5
KM",6.0,10.0,4.0,20,4.0,6.0,3.0,13,,
331.0,80.0,JAIPUR RURAL,DUDU,NH 48,RAMNAGAR,5.0 KM,5.5 KM,4.0,7.0,4.0,15,2.0,5.0,4.0,11,,
332.0,81.0,JAIPUR RURAL,DUDU,NH 48,DUDU PULIYA,0.1KM,0.6 KM,5.0,6.0,9.0,20,3.0,5.0,7.0,15,23.8424525,77.5332796
333.0,82.0,JAIPUR RURAL,ANDHI,NH 148,NH 148 THANA MOD ANDHI,1 KM,1.5 KM,1.0,3.0,4.0,8,1.0,1.0,2.0,4,27.2610608,76.0154086
334.0,83.0,JAIPUR RURAL,ANDHI,NH 148,DANGARWADA,6 KM,6.5 KM,4.0,3.0,2.0,9,4.0,2.0,0.0,6,24.3782023,81.30418
335.0,84.0,JAIPUR RURAL,RAISAR,NH 148,GATWARI,20 KM,"20.5
KM",6.0,3.0,5.0,14,3.0,0.0,1.0,4,24.3782023,81.30418
336.0,85.0,JAIPUR RURAL,Govindga rh,NH52,BHADALA KAT,2.0 KM,2.5 KM,5.0,6.0,2.0,13,1.0,2.0,2.0,5,24.3782023,81.30418
337.0,86.0,JAIPUR RURAL,Govindga rh,NH52,TATEDA MOUD,4.0 KM,4.5 KM,4.0,5.0,1.0,10,2.0,3.0,1.0,6,27.286195,75.6259006
338.0,87.0,JAIPUR RURAL,Govindga rh,NH52,ANTPURA MOUD,5.0 KM,5.5 KM,11.0,4.0,6.0,21,3.0,2.0,4.0,9,27.4183028,76.1053034
339.0,88.0,JAIPUR RURAL,Govindga rh,NH52,DHODHSAR,6 KM,6.5KM,8.0,12.0,10.0,30,5.0,4.0,2.0,11,27.4309982,76.18996609999999
340.0,89.0,JAIPUR RURAL,VIRAT NAGAR,NH 248A,BEELWARI GHATI,5.0 KM,5.5 KM,4.0,2.0,4.0,10,0.0,1.0,3.0,4,,
341.0,90.0,JAIPUR RURAL,VIRAT NAGAR,NH 248A,KILE KE PASS,1.0 KM,1.5 KM,3.0,2.0,4.0,9,1.0,0.0,1.0,2,,
342.0,186.0,SAWAI MADHOP UR,dksrokyh l0ek0,NH 116,[kSjnk isVªksy iEi,6 KM,6.5 KM,2.0,2.0,1.0,5,1.0,2.0,1.0,4,,
343.0,187.0,SAWAI MADHOP UR,joktukMwaxj,NH 552,dqLryk,9.5 KM,10 KM,2.0,2.0,6.0,10,1.0,2.0,3.0,6,,
344.0,188.0,SAWAI MADHOP UR,[k.Mkj,NH 552,m?kky fczt tsriqj,24 KM,"24.5
KM",1.0,2.0,3.0,6,1.0,1.0,3.0,5,,
345.0,189.0,SAWAI MADHOP UR,[k.Mkj,NH 552,Nk.k,22 KM,"22.5
KM",1.0,3.0,2.0,6,1.0,2.0,1.0,4,,
346.0,190.0,SAWAI MADHOP UR,xaxkiqjflVh,NH 11-B,xaxkth dh dksBh,4.7 KM,5.2 KM,5.0,4.0,4.0,13,5.0,1.0,3.0,9,,
347.0,318.0,RAJSAMA ND,jktuxj,NH 8,ihijMk,AJMER 214 KM,"214.5
KM",12.0,10.0,8.0,30,9.0,4.0,6.0,19,,
348.0,319.0,RAJSAMA ND,jktuxj,NH 8,eksjpuk,"Ajmer
202  KM","202.5
KM",3.0,1.0,2.0,6,1.0,1.0,0.0,2,,
349.0,320.0,RAJSAMA ND,jktuxj,NH 8,cMkjMk,"Ajmer
213  KM","213.5
KM",5.0,4.0,1.0,10,3.0,2.0,1.0,6,39.1867171,-78.1917698
350.0,321.0,RAJSAMA ND,jktuxj,NH 8,lsokyh,"Ajemr
204  KM","204.5
KM",5.0,2.0,4.0,11,2.0,2.0,2.0,6,,
351.0,322.0,RAJSAMA ND,jktuxj,NH 8,jkes'oj egknso dV@nsoFkMh pkSjkgk,"Ajemr
207  KM","207.5
KM",5.0,4.0,9.0,18,4.0,2.0,4.0,10,,
352.0,323.0,RAJSAMA ND,dkadjksyh,NH 758,tsds ldZy,"Udaipur
65  KM","65.1
KM",3.0,6.0,0.0,9,1.0,6.0,0.0,7,,
353.0,324.0,RAJSAMA ND,dqaokfj;k,NH 758,fQ;koMh,Bhilwara 71 KM,"71.5
KM",1.0,4.0,2.0,7,1.0,3.0,2.0,6,,
354.0,325.0,RAJSAMA ND,dsyok,NH 8,ilqUn rklksy jksM dV,"Ajemr
198  KM","198.5
KM",4.0,2.0,4.0,10,3.0,2.0,3.0,8,37.3254785,-79.2014774
355.0,326.0,RAJSAMA ND,dsyok,NH 8,Fkkuk dsyok ds lkeus dV,"Ajemr
194  KM","194.5
KM",5.0,1.0,0.0,6,2.0,0.0,0.0,2,45.36468989999999,36.4093995
356.0,327.0,RAJSAMA ND,dsyok,NH 8,iMklyh HkS:th dh ?kkVh,"Ajemr
185  KM","185.5
KM",2.0,5.0,0.0,7,2.0,0.0,0.0,2,45.36468989999999,36.4093995
357.0,328.0,RAJSAMA ND,ukFk}kjk,NH 8,jkcpk,"Udaipur
37  KM","37.5
KM",6.0,2.0,2.0,10,4.0,2.0,2.0,8,45.36468989999999,36.4093995
358.0,329.0,RAJSAMA ND,ukFk}kjk,NH 8,ykyckx,Ajemr 48 KM,"48.5
KM",4.0,4.0,4.0,12,4.0,2.0,9.0,15,45.36468989999999,36.4093995
359.0,330.0,RAJSAMA ND,ukFk}kjk,NH 8,xqtksy,"Udaipur
51  KM","51.5
KM",8.0,5.0,4.0,17,8.0,4.0,5.0,17,,
360.0,331.0,RAJSAMA ND,ukFk}kjk,NH 8,ukFkqokl,"Udaipur
43  KM","43.5
KM",1.0,4.0,3.0,8,0.0,3.0,1.0,4,,
361.0,332.0,RAJSAMA ND,nsyokMk,NH 8,vuUrk gksLihVy,Ajemr 246 KM,"246-5
KM",9.0,3.0,3.0,15,10.0,4.0,3.0,17,,
362.0,333.0,RAJSAMA ND,nsyokMk,NH 8,cjok,"Ajemr
242  KM","242.4
KM",4.0,1.0,3.0,8,3.0,0.0,2.0,5,,
363.0,334.0,RAJSAMA ND,nsyokMk,NH 8,etsjk,"Ajmer
239  KM","239.5
KM",3.0,3.0,2.0,8,2.0,1.0,0.0,3,,
364.0,335.0,RAJSAMA ND,nsyokMk,NH 8,usxfM;k,Ajmer 236 KM,"236.5
KM",3.0,3.0,1.0,7,1.0,3.0,1.0,5,,
365.0,336.0,RAJSAMA ND,nsyokMk,NH 8,?kksMk?kkVh,Ajmer 232 KM,"232.4
KM",2.0,3.0,3.0,8,1.0,0.0,3.0,4,,
366.0,337.0,RAJSAMA ND,Hkhe,NH 8,cjkj,"ajmer
120.7 KM","121.2
KM",8.0,11.0,7.0,26,4.0,7.0,6.0,17,,
367.0,338.0,RAJSAMA ND,Hkhe,NH 8,40 ehy,ajmer 117 KM,"117.5
KM",4.0,2.0,3.0,9,0.0,1.0,0.0,1,,
368.0,339.0,RAJSAMA ND,Hkhe,NH 8,eY;kFkMh,ajmer 116 KM,"116.5
KM",1.0,5.0,4.0,10,0.0,3.0,2.0,5,,
369.0,340.0,RAJSAMA ND,Hkhe,NH 8,dqdj[ksMk,"ajmer
113.8 KM","114.2
KM",0.0,1.0,4.0,5,0.0,0.0,2.0,2,,
370.0,341.0,RAJSAMA ND,Hkhe,NH 8,ikVh;k xkaxkth dk [ksMk,ajmer 111 KM,"111.5
KM",4.0,5.0,2.0,11,0.0,2.0,0.0,2,,
371.0,342.0,RAJSAMA ND,Hkhe,NH 8,uUnkoV,"ajmer
106.5 KM",107 KM,12.0,10.0,10.0,32,6.0,6.0,5.0,17,24.9100321,67.1176035
372.0,343.0,RAJSAMA ND,Hkhe,NH 8,Vksxh,"ajmer
102.4 KM","102.9
KM",5.0,5.0,6.0,16,3.0,3.0,5.0,11,,
373.0,344.0,RAJSAMA ND,Hkhe,NH 8,tLlk[ksMk,ajmer 96 KM,"96.5
KM",3.0,9.0,13.0,25,1.0,2.0,3.0,6,,
374.0,345.0,RAJSAMA ND,Hkhe,NH 8,ckjyk pkSMk 24 ehy,ajmer 92 KM,"92.5
KM",4.0,3.0,3.0,10,3.0,2.0,1.0,6,,
375.0,346.0,RAJSAMA ND,Hkhe,NH 8,ckykrks dh xqvkaj,"ajmer
112.8 KM","113.
2KM",4.0,6.0,2.0,12,2.0,7.0,1.0,10,,
376.0,347.0,RAJSAMA ND,Hkhe,NH 8,Vªd LVS.M,"ajmer
109.7 KM","110-2
KM",0.0,1.0,6.0,7,0.0,0.0,3.0,3,,
377.0,348.0,RAJSAMA ND,fnosj,NH 8,ck?kkuk,"Ajmer
163.1 KM","163.4
KM",3.0,2.0,3.0,8,0.0,7.0,1.0,8,,
378.0,349.0,RAJSAMA ND,fnosj,NH 8,Nkiyh ?kkVk,Ajmer 153 KM,"153.5
KM",3.0,4.0,3.0,10,1.0,3.0,2.0,6,,
379.0,350.0,RAJSAMA ND,nsox<,NH 58,dkeyh?kkV,"Ajmer
142.1 KM","142.6
KM",3.0,17.0,11.0,31,2.0,9.0,7.0,18,,
380.0,351.0,RAJSAMA ND,nsox<,NH 58,lkaxkokl,"Ajmer
137.3 KM","137.8
KM",6.0,2.0,3.0,11,4.0,1.0,1.0,6,,
381.0,352.0,RAJSAMA ND,nsox<,NH 58,fBdjokl dyk,"Ajmer
128.8 KM","129.3
KM",5.0,5.0,1.0,11,2.0,0.0,1.0,3,,
382.0,353.0,RAJSAMA ND,nsox<,NH 58,fe;kyk,Ajmer 130 KM,"130.5
KM",4.0,1.0,3.0,8,2.0,1.0,2.0,5,,
,,,,,,,,,,,,,,,,28.2937839,79.804459
,,,,,,,,,,,,,,,,26.3427037,73.0443233
